Date,USA_Interest_Rates,Aus_Interest_Rates,Eur_Interest_Rates,Canada_Interest_Rates,England_Interest_Rates
2023-05,5.06,3.85,4.00,4.5000,4.5
2023-06,5.08,4.10,4.25,4.7500,5.0
2023-07,5.12,4.10,4.25,5.0000,5.0
2023-08,5.33,4.10,4.50,5.0100,5.25
2023-09,5.33,4.10,4.75,5.0200,5.25
2023-10,5.33,4.10,4.75,5.0500,5.25
2023-11,5.33,4.35,4.75,5.0200,5.25
2023-12,5.33,4.35,4.75,5.0600,5.25
2024-01,5.33,4.35,4.75,5.0700,5.25
2024-02,5.33,4.35,4.75,5.0100,5.25
2024-03,5.33,4.35,4.75,5.0500,5.25
2024-04,5.33,4.35,4.75,5.0100,5.25
